,model,price,Combustible,Cilindrada,Potencia,Torque,Alimentación,Cilindros,Válvulas,Sistema start/stop,Aceleración (0-100 km/h),Consumo en ciudad,Consumo en ruta,Consumo mixto,Velocidad máxima,Motor-tracción,Transmisión,Neumáticos,Frenos,Suspensión delantera,Suspensión trasera,Largo,Ancho sin espejos,Ancho con espejos,Alto,Distancia entre ejes,Baúl,Tanque de combustible,Peso,Capacidad de carga,Altura de piso,Remolque con frenos,Remolque sin frenos,Aire acondicionado,Alarma de luces encendidas,Asientos delanteros,Asientos traseros,Tapizados,Cierre de puertas,Vidrios,Espejos exteriores,Espejo interior,Faros delanteros,Faros antiniebla,Computadora de a bordo,Dirección asistida,Llantas,Techo solar,Volante,Sensores de estacionamiento,Cámara de visión,ABS,Distribución electrónica de frenado,Airbag,Alarma e inmovilizador de motor,Anclaje para asientos infantiles,Cinturones de seguridad,Otros,Tercera luz de stop,Autobloqueo de puertas con velocidad,Control de estabilidad,Control de tracción,Equipo de música,Parlantes,Conexión auxiliar (iPod y Mp3),Conexión USB,Interfaz bluetooth,Sistema de control por voz para dispositivos,Pantalla,MirrorLink,Limitador de velocidad,Palanca de cambios,Apertura de baúl y tapa de combustible,Sistema de navegación,Limpialuneta,Capacidad de vadeo,Ángulo de ataque,Ángulo de partida,Ángulo ventral,Capacidad de pendiente,Escalonamiento vertical,Inclinación lateral,Control de velocidad crucero,Encendido del motor,Sistema de estacionamiento asistido,Asistencia en frenada de emergencia,Sensor de lluvia,Recarga inalámbrica del celular,Apple Carplay / Android Auto,Reproducción de audio vía bluetooth,Puertas,Wi-Fi
10,Peugeot 208 Feline 1.6 Tiptronic,9500000.0,nafta,1587,115/6000 cv/rpm,150/4000 N·m/rpm,inyección electrónica multipunto,4,16,sí,12.2,N/D,N/D,N/D,190.0,delantero - delantera,Tiptronic de 6 velocidades,195/55/R16,discos ventilados - tambor,"independiente tipo McPherson, con resortes helicoidales, amortiguadores hidráulicos telescópicos y barra estabilizadora","traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",4055,1738.0,1960.0,1453.0,2538,311.0,47,1252.0,,,,,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,alcántara,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, con regulación interna",traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",traseros,periférica,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales","advertencia de colisión con autofrenado , asistente para arranque en pendientes, sistema de advertencia de salida de carril, sistema de alerta por cansancio",sí,sí,sí,,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,,"táctil de 10""",sí,sí,,interna y a distancia solo baúl,,sí,,,,,,,,,con sistema remoto,,sí,,sí,,sí,,
11,FIAT Toro 1.8 Freedom S-Design 4x2 CD Aut,250000.0,nafta,1747,130/6000 cv/rpm,171/3750 N·m/rpm,inyección electrónica multipunto,4,16,no,14.0,N/D,N/D,N/D,176.0,delantero - delantera,automática secuencial 6 velocidades,215/65/R16,discos ventilados - tambor,ruedas independientes tipo McPherson con brazos oscilantes inferiores y barra estabilizadora,"Multi-Link, resortes helicoidales y barra estabilizadora",4945,1845.0,2033.0,1735.0,2990,937.0,60,1688.0,650.0,,N/D,400.0,climatizador bizona,sí,con ajuste manual,abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, con encendido automático, con luces led",delanteros,sí,eléctrica progresiva,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, control de estabilidad antivuelco, indicador de presión de neumáticos, sistema de regulación del torque",sí,sí,sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,sí,"táctil de 8,4"" color",sí,,"levas de cambios al volante - Paddle Shifters, revestida en cuero",interna y a distancia solo tapa de combustible,satelital (GPS),,N/D,26°,28°,22°,N/D,N/D,N/D,sí,,,sí,,sí,,sí,,
12,FIAT Cronos 1.8L Precision,200000.0,nafta,1747,130/5250 cv/rpm,182/3750 N·m/rpm,inyección electrónica multipunto,4,16,no,9.9,N/D,N/D,N/D,192.0,delantero - delantera,manual 5 velocidades,195/55/R16,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4364,1724.0,,1516.0,2521,525.0,48,1136.0,,,,,manual,,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con luces led, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,trasera,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,sí,,"color de 3,5"", táctil de 7''",,,,,,,,,,,,,,,,,,,,,,,
13,FIAT Toro 1.8 Freedom S-Design 4x2 CD Aut,200000.0,nafta,1747,130/6000 cv/rpm,171/3750 N·m/rpm,inyección electrónica multipunto,4,16,no,14.0,N/D,N/D,N/D,176.0,delantero - delantera,automática secuencial 6 velocidades,215/65/R16,discos ventilados - tambor,ruedas independientes tipo McPherson con brazos oscilantes inferiores y barra estabilizadora,"Multi-Link, resortes helicoidales y barra estabilizadora",4945,1845.0,2033.0,1735.0,2990,937.0,60,1688.0,650.0,,N/D,400.0,climatizador bizona,sí,con ajuste manual,abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, con encendido automático, con luces led",delanteros,sí,eléctrica progresiva,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, control de estabilidad antivuelco, indicador de presión de neumáticos, sistema de regulación del torque",sí,sí,sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,sí,"táctil de 8,4"" color",sí,,"levas de cambios al volante - Paddle Shifters, revestida en cuero",interna y a distancia solo tapa de combustible,satelital (GPS),,N/D,26°,28°,22°,N/D,N/D,N/D,sí,,,sí,,sí,,sí,,
14,Peugeot 208 Feline 1.6,230000.0,nafta,1587,115/5800 cv/rpm,152/4000 N·m/rpm,inyección electrónica multipunto,4,16,no,11.0,N/D,N/D,N/D,195.0,delantero - delantera,manual 5 velocidades,195/60/R15,discos ventilados - tambor,independiente tipo McPherson,"traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",3975,1740.0,2000.0,1470.0,2540,318.0,55,,,,,,climatizador bizona,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela y cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, fijos",delanteros y traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",delanteros y traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",,sí,sí,,,"AM - FM, con lector de Mp3, con comandos de audio al volante, sistema de sonido Arkamys®",6,sí,sí,sí,,táctil de 7'',sí,sí,,interna y a distancia solo baúl,satelital (GPS),sí,,,,,,,,,,,,,,,,,
15,FIAT Cronos 1.3L Drive Pack Plus,19500000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,174.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente con eje torsional con amortiguadores y resortes helicoidales,4364,1724.0,1962.0,1508.0,2521,525.0,48,1155.0,,160.0,N/D,400.0,climatizador,sí,con ajuste manual,abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,con ajuste en altura,traseros,trasera,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,AM - FM y CD con lector de Mp3,N/D,sí,sí,sí,sí,táctil de 7'',sí,,,,,,,,,,,,,,,,,,,,,,
16,FIAT Cronos 1.3L Drive Pack Plus,150000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,174.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente con eje torsional con amortiguadores y resortes helicoidales,4364,1724.0,1962.0,1508.0,2521,525.0,48,1155.0,,160.0,N/D,400.0,climatizador,sí,con ajuste manual,abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,con ajuste en altura,traseros,trasera,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,AM - FM y CD con lector de Mp3,N/D,sí,sí,sí,sí,táctil de 7'',sí,,,,,,,,,,,,,,,,,,,,,,
17,Peugeot 208 Feline 1.6 Tiptronic,200000.0,nafta,1587,115/6000 cv/rpm,150/4000 N·m/rpm,inyección electrónica multipunto,4,16,sí,12.2,N/D,N/D,N/D,190.0,delantero - delantera,Tiptronic de 6 velocidades,195/55/R16,discos ventilados - tambor,"independiente tipo McPherson, con resortes helicoidales, amortiguadores hidráulicos telescópicos y barra estabilizadora","traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",4055,1738.0,1960.0,1453.0,2538,311.0,47,1252.0,,,,,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,alcántara,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, con regulación interna",traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",traseros,periférica,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales","advertencia de colisión con autofrenado , asistente para arranque en pendientes, sistema de advertencia de salida de carril, sistema de alerta por cansancio",sí,sí,sí,,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,,"táctil de 10""",sí,sí,,interna y a distancia solo baúl,,sí,,,,,,,,,con sistema remoto,,sí,,sí,,sí,,
18,Peugeot 208 Feline 1.6,230000.0,nafta,1587,115/5800 cv/rpm,152/4000 N·m/rpm,inyección electrónica multipunto,4,16,no,11.0,N/D,N/D,N/D,195.0,delantero - delantera,manual 5 velocidades,195/60/R15,discos ventilados - tambor,independiente tipo McPherson,"traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",3975,1740.0,2000.0,1470.0,2540,318.0,55,,,,,,climatizador bizona,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela y cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, fijos",delanteros y traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",delanteros y traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",,sí,sí,,,"AM - FM, con lector de Mp3, con comandos de audio al volante, sistema de sonido Arkamys®",6,sí,sí,sí,,táctil de 7'',sí,sí,,interna y a distancia solo baúl,satelital (GPS),sí,,,,,,,,,,,,,,,,,
19,Peugeot 208 Allure 1.6,200000.0,nafta,1587,115/6000 cv/rpm,150/4000 N·m/rpm,inyección electrónica multipunto,4,16,sí,11.0,N/D,N/D,N/D,190.0,delantero - delantera,manual 5 velocidades,195/55/R16,discos ventilados - tambor,"independiente tipo McPherson, con resortes helicoidales, amortiguadores hidráulicos telescópicos y barra estabilizadora","traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",4055,1738.0,1960.0,1453.0,2538,311.0,47,1210.0,,,,,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,alcántara,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con luces led, fijos",traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",asistente para arranque en pendientes,sí,sí,sí,,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,,,sí,sí,,interna y a distancia solo baúl,,sí,,,,,,,,,con sistema remoto,,sí,,sí,,sí,,
